,date,burn_type,burn_number,length,power,factor_before,factor_after,dead_before,dead_after,dir,result
1336,17-03-2022 14.50.08,shining-moon3,4,40.0000,5.3333,0.17818726630128567,0.08533472224901457,0.02385625,0.028025,-1,SUCCESS
1337,17-03-2022 14.51.11,none,5,-,-,0.08533472224901457,-,0.028025,-,-1,SUCCESS
1338,17-03-2022 14.34.40,shining-moon3,0,40.0000,6.0000,0.27831748066270295,0.20990563025961256,0.015025,0.02114375,-1,SUCCESS
1339,17-03-2022 14.35.44,shining-moon3,1,40.0000,5.8333,0.20990563025961256,0.10702745337506042,0.02114375,0.01743125,-1,SUCCESS
1340,17-03-2022 14.36.47,none,2,-,-,0.10702745337506042,-,0.01743125,-,-1,SUCCESS
1341,17-03-2022 14.20.08,shining-moon3,0,40.0000,6.0000,0.4758632249413342,0.32816961736150774,0.03053125,0.03695625,-1,SUCCESS
1342,17-03-2022 14.21.12,shining-moon3,1,40.0000,5.8333,0.32816961736150774,0.17585026249714678,0.03695625,0.0416625,-1,SUCCESS
1343,17-03-2022 14.22.16,shining-moon3,2,40.0000,5.6667,0.17585026249714678,0.20224132921256308,0.0416625,0.05358125,-1,SUCCESS
1344,17-03-2022 14.23.20,shining-moon3,3,40.0000,5.5000,0.20224132921256308,0.1262874280529447,0.05358125,0.09765,-1,SUCCESS
1345,17-03-2022 14.24.24,none,4,-,-,0.1262874280529447,-,0.09765,-,-1,SUCCESS
1346,17-03-2022 14.36.55,shining-moon3,0,40.0000,6.0000,0.31514423997854596,0.32070023930912495,0.02116875,0.03890625,1,SUCCESS
1347,17-03-2022 14.38.01,shining-moon3,1,40.0000,5.8333,0.32070023930912495,0.47675621536494883,0.03890625,0.0515,1,SUCCESS
1348,17-03-2022 14.39.05,shining-moon3,2,40.0000,5.6667,0.47675621536494883,0.609237531875485,0.0515,0.0416875,1,SUCCESS
1349,17-03-2022 14.40.09,shining-moon3,3,40.0000,5.5000,0.609237531875485,0.5990449713818479,0.0416875,0.0445375,1,SUCCESS
1350,17-03-2022 14.41.12,shining-moon3,4,40.0000,5.3333,0.5990449713818479,0.731273904089438,0.0445375,0.0440375,1,SUCCESS
1351,17-03-2022 14.42.17,shining-moon3,5,40.0000,5.1667,0.731273904089438,0.8711802202047518,0.0440375,0.02931875,1,SUCCESS
1352,17-03-2022 14.43.21,none,6,-,-,0.8711802202047518,-,0.02931875,-,1,SUCCESS
1353,17-03-2022 14.43.29,shining-moon3,0,40.0000,6.0000,0.43956647622986844,0.24468795590857514,0.03293125,0.0361,-1,SUCCESS
1354,17-03-2022 14.44.35,shining-moon3,1,40.0000,5.8333,0.24468795590857514,0.10316377408536197,0.0361,0.01976875,-1,SUCCESS
1355,17-03-2022 14.45.39,none,2,-,-,0.10316377408536197,-,0.01976875,-,-1,SUCCESS
1356,17-03-2022 14.24.32,shining-moon3,0,40.0000,6.0000,0.6441906364254052,0.8579472431827146,0.0341625,0.01766875,1,SUCCESS
1357,17-03-2022 14.25.35,none,1,-,-,0.8579472431827146,-,0.01766875,-,1,SUCCESS
1358,17-03-2022 14.51.19,shining-moon3,0,40.0000,6.0000,0.37461081875319596,0.5066904841358643,0.0344375,0.044825,1,SUCCESS
1359,17-03-2022 14.52.23,shining-moon3,1,40.0000,5.8333,0.5066904841358643,0.7379910126288061,0.044825,0.03198125,1,SUCCESS
1360,17-03-2022 14.53.27,shining-moon3,2,40.0000,5.6667,0.7379910126288061,0.7837811918599076,0.03198125,0.0224375,1,SUCCESS
1361,17-03-2022 14.54.31,shining-moon3,3,40.0000,5.5000,0.7837811918599076,0.883494283775815,0.0224375,0.014325,1,SUCCESS
1362,17-03-2022 14.55.34,none,4,-,-,0.883494283775815,-,0.014325,-,1,SUCCESS
1363,17-03-2022 15.02.24,shining-moon3,0,40.0000,6.0000,0.6189212748223227,0.8385669071711955,0.0177125,0.0185625,1,SUCCESS
1364,17-03-2022 15.03.27,shining-moon3,1,40.0000,5.8333,0.8385669071711955,0.9252937742696886,0.0185625,0.01498125,1,SUCCESS
1365,17-03-2022 15.04.30,none,2,-,-,0.9252937742696886,-,0.01498125,-,1,SUCCESS
1366,17-03-2022 14.32.25,shining-moon3,0,40.0000,6.0000,0.5954137638499705,0.6856982140345943,0.02753125,0.02224375,1,SUCCESS
